Google,HP,Amazon,Huawei,Toshiba,T-Mobile,vivo,Prestigio,VK Mobile,Wiko,Vodafone,Orange,Allview,Sony,ZTE,LG,Neonode,verykool,QMobile,BlackBerry,LeEco,BQ,Lenovo,Nvidia,Gigabyte,BLU,Mitac,Xiaomi,Kyocera,Yota,Eten,Samsung,Sagem,Coolpad,Intex,Karbonn,Nokia,Oppo,Meizu,Spice,Acer,BenQ,Yezz,Sharp,iNQ,Apple,Qtek,Asus,Jolla,Cat,Celkon,Sonim,Lava,NIU,Philips,Motorola,Gionee,Dell,Micromax,Pantech,O2,Panasonic,Archos,Garmin-Asus,i-mate,XOLO,Casio,Icemobile,Sony Ericsson,HTC,OnePlus,Palm,NEC,Vertu,alcatel,Microsoft,YU,GPRS,EDGE,2G,3G,4G,SIM,CPU,Chipset,GPU,memory_card,GPS,NFC,OS,audio_jack,loud_speaker,radio,RAM,primary_camera,secondary_camera,weight_g,internal_memory,battery,Thickness,display_size,screen_to_body_ratio,Price
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,360,329,12,1,1,1,38,1,1,1,0.015609979392629777,0.1,0.05263157894736842,0.06959322795715035,0.015623122449147125,0.002453545990425006,0.002918138534787283,0.20114942528735633,0.6320093457943926,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,381,167,72,1,1,1,38,1,1,1,0.015609979392629777,0.17500000000000002,0.3684210526315789,0.08107973131570406,0.015623122449147125,0.004919421357686319,0.002457379818768238,0.2586206896551725,0.7149532710280374,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,381,167,72,1,1,1,38,1,1,1,0.015609979392629777,0.17500000000000002,0.3684210526315789,0.07109146752565736,0.015623122449147125,0.0029713798175498816,0.002457379818768238,0.2298850574712644,0.7067757009345794,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,389,91,49,1,1,1,35,1,1,0,0.031235217814968987,0.1,0.05263157894736842,0.2683596773790796,0.12499833106590855,0.007274332333420873,0.002918138534787283,0.5229885057471264,0.6658878504672897,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,389,92,49,1,1,1,35,1,1,0,0.015609979392629777,0.1,0.17825302041383143,0.1759682373211477,0.062498211856330595,0.00559753708368318,0.0027645522961142685,0.4022988505747127,0.7044392523364487,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,383,203,58,1,1,1,31,1,1,0,0.015609979392629777,0.1,0.05263157894736842,0.2523784553150049,0.031248152251541615,0.007274332333420873,0.0032253110121333133,0.5229885057471264,0.7032710280373832,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,401,203,58,1,1,1,31,1,1,0,0.031235217814968987,0.1,0.05263157894736842,0.2523784553150049,0.062498211856330595,0.007274332333420873,0.0032253110121333133,0.5229885057471264,0.7032710280373832,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,400,165,80,1,1,1,35,1,1,1,0.015609979392629777,0.3,0.21052631578947367,0.05361200589307564,0.015623122449147125,0.002823427295514203,0.001843034864076179,0.2298850574712644,0.7149532710280374,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,383,152,50,1,1,1,32,1,1,1,0.015609979392629777,0.17500000000000002,0.05263157894736842,0.05760731140909432,0.015623122449147125,0.002453545990425006,0.0009215174320380895,0.2298850574712644,0.5782710280373832,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,179,394,10,1,1,1,35,1,1,1,0.015609979392629777,0.1,0.05263157894736842,0.05860613778809899,0.015623122449147125,0.0015904896118835467,0.002918138534787283,0.1724137931034483,0.5747663551401869,2
