,SIM,display_size,screen_to_body_ratio,OS
967,Single,['5.2'],['71.1'],Android
968,Dual,['5.5'],['69.1'],Android
969,Dual,['5.0'],['66.2'],Android
970,Single,['5.0'],['66.2'],Android
971,Single,['5.0'],['65.8'],Android
972,Dual,['5.5'],['71.4'],Android
973,Single,['5.0'],['68.4'],Android
974,Dual,['5.5'],['67.0'],Android
975,Dual,['5.5'],['67.9'],Android
976,Dual,['5.5'],['66.3'],Android
977,Single,['5.2'],['67.6'],Android
978,Single,['5.0'],['66.8'],Android
979,Single,['5.2'],['68.6'],Android
980,Single,['5.0'],['66.2'],Android
981,Single,['4.7'],['62.1'],Android
982,Dual,['5.2'],['68.6'],Android
983,Dual,['5.5'],['67.2'],Android
984,Dual,['4.5'],['57.4'],Android
985,Single,['5.2'],['68.6'],Android
986,Single,['5.0'],['66.7'],Android
987,Dual,['5.5'],['69.7'],Android
988,Dual,['5.5'],['69.7'],Android
989,Single,['5.0'],['68.4'],Android
990,Dual,['5.5'],['67.2'],Android
991,Dual,['5.0'],['66.2'],Android
992,Dual,['5.0'],['66.2'],Android
993,Dual,['4.7'],['62.4'],Android
994,Dual,['5.5'],['68.1'],Android
995,Single,['4.5'],['62.4'],Android
996,Dual,['5.0'],['63.2'],Android
997,Dual,['5.0'],['63.2'],Android
998,Single,['8.9'],['73.5'],Android
999,Dual,['5.5'],['67.7'],Android
1000,Single,['5.0'],['66.7'],Android
1001,Single,['5.2'],['66.6'],Android
1002,Single,['4.7'],['60.2'],Android
1003,Dual,['5.5'],['67.2'],Android
1004,Dual,['5.5'],['67.2'],Android
1005,Single,['5.5'],['67.2'],Android
1006,Single,['5.0'],['66.6'],Android
1007,Single,['4.7'],['62.3'],Android
1008,Single,['5.0'],['66.7'],Windows
1009,Single,['5.0'],['66.7'],Windows
1010,Single,['5.0'],['67.5'],Android
1011,Single,['4.5'],['62.5'],Android
1012,Dual,['5.0'],['66.7'],Android
1013,Dual,['5.0'],['68.4'],Android
1014,Dual,['5.0'],['66.6'],Android
1015,Single,['4.5'],['62.5'],Android
1016,Dual,['5.0'],['67.5'],Android
1017,Dual,['4.0'],['55.7'],Android
1018,Single,['5.0'],['66.7'],Android
1019,Single,['5.0'],['66.7'],Android
1020,Dual,['4.5'],['62.5'],Android
1021,Single,['4.5'],['62.0'],Android
1022,Dual,['5.5'],['67.7'],Android
