,GPS,NFC,audio_jack,battery,radio
546,Yes,Yes,Yes,1230.0,No
547,Yes,,Yes,5300.0,No
548,Yes,,Yes,1500.0,No
549,Yes,,Yes,1150.0,No
550,Yes,,Yes,1150.0,No
551,Yes,,Yes,1150.0,No
552,Yes,,Yes,1300.0,No
553,Yes,,Yes,1150.0,No
554,Yes,,Yes,1150.0,No
555,Yes,,Yes,1400.0,No
556,Yes,,Yes,1500.0,No
557,Yes,,Yes,1400.0,No
558,Yes,,Yes,1400.0,No
559,Yes,,Yes,1150.0,No
560,No,,Yes,1150.0,No
561,Yes,,Yes,1400.0,No
562,Yes,,Yes,,No
563,Yes,,Yes,1400.0,No
564,Yes,,Yes,1400.0,No
565,Yes,,Yes,1400.0,No
566,No,,Yes,900.0,No
567,No,,Yes,900.0,No
568,Yes,,Yes,1500.0,No
569,Yes,,Yes,900.0,No
570,No,,Yes,900.0,No
571,No,,Yes,1100.0,No
572,Yes,,Yes,1100.0,No
573,No,,Yes,1100.0,No
574,Yes,,No,1400.0,No
575,Yes,,No,1400.0,No
576,Yes,,No,,No
577,No,,No,900.0,No
578,No,,No,,No
579,Yes,,Yes,3000.0,Yes
580,Yes,,Yes,2000.0,Yes
581,Yes,,Yes,3150.0,Yes
582,Yes,Yes,Yes,3500.0,Yes
583,Yes,,Yes,3000.0,Yes
584,Yes,,Yes,5000.0,Yes
585,Yes,,Yes,2000.0,Yes
586,Yes,,Yes,2100.0,Yes
587,Yes,,Yes,2100.0,Yes
588,Yes,,Yes,3200.0,Yes
589,Yes,,Yes,2200.0,Yes
590,Yes,,Yes,3000.0,Yes
591,Yes,,Yes,1400.0,Yes
592,Yes,,Yes,2200.0,Yes
593,Yes,,Yes,2000.0,Yes
594,Yes,,Yes,1800.0,Yes
595,Yes,,Yes,2300.0,Yes
596,Yes,,Yes,2000.0,Yes
597,Yes,Yes,Yes,2500.0,Yes
598,Yes,,Yes,3000.0,Yes
599,Yes,,Yes,1800.0,Yes
600,Yes,,Yes,1300.0,Yes
601,Yes,,Yes,2000.0,Yes
602,Yes,,Yes,2100.0,Yes
603,Yes,,Yes,2350.0,Yes
604,Yes,,Yes,3000.0,Yes
605,Yes,,Yes,2000.0,Yes
606,Yes,,Yes,4500.0,No
607,Yes,,Yes,1800.0,Yes
608,Yes,,Yes,2000.0,Yes
609,Yes,,Yes,2000.0,Yes
610,Yes,,Yes,1800.0,Yes
611,Yes,,Yes,2020.0,Yes
612,Yes,,Yes,2000.0,Yes
613,Yes,,Yes,1600.0,Yes
614,Yes,,Yes,2500.0,Yes
615,Yes,,Yes,2250.0,Yes
616,No,,Yes,820.0,Yes
617,No,,Yes,820.0,Yes
618,No,,Yes,820.0,Yes
619,No,,Yes,820.0,Yes
620,Yes,,Yes,2000.0,Yes
621,Yes,,Yes,1500.0,Yes
622,Yes,,Yes,1000.0,Yes
623,Yes,,Yes,2000.0,Yes
624,Yes,,Yes,1600.0,Yes
625,Yes,,Yes,2800.0,Yes
626,Yes,,Yes,2000.0,Yes
627,Yes,,Yes,2000.0,Yes
628,Yes,,Yes,1500.0,Yes
629,No,,Yes,1400.0,Yes
630,No,,Yes,820.0,Yes
631,No,,Yes,620.0,Yes
632,Yes,,Yes,2600.0,Yes
633,Yes,,Yes,2000.0,Yes
634,Yes,,Yes,1800.0,Yes
635,Yes,,Yes,2200.0,Yes
636,Yes,,Yes,1760.0,Yes
637,Yes,,Yes,2800.0,Yes
638,Yes,,Yes,1800.0,Yes
639,Yes,,Yes,1800.0,Yes
640,No,,Yes,1100.0,Yes
641,Yes,,Yes,1500.0,Yes
642,Yes,,Yes,1280.0,Yes
643,Yes,,Yes,1600.0,Yes
644,Yes,,Yes,6000.0,No
645,Yes,,Yes,3500.0,Yes
646,Yes,,Yes,3000.0,Yes
647,Yes,,Yes,1300.0,Yes
648,Yes,,Yes,1600.0,Yes
649,Yes,,Yes,1110.0,Yes
650,No,,Yes,950.0,Yes
651,No,,Yes,820.0,Yes
652,Yes,,Yes,1600.0,Yes
653,No,,No,1800.0,Yes
654,No,,No,900.0,Yes
655,Yes,,Yes,2500.0,Yes
656,Yes,,Yes,4250.0,Yes
657,No,,Yes,820.0,Yes
658,No,,Yes,820.0,Yes
659,No,,Yes,1200.0,Yes
660,No,,Yes,800.0,Yes
661,No,,Yes,850.0,Yes
662,No,,Yes,1050.0,Yes
663,No,,Yes,900.0,Yes
664,No,,Yes,750.0,Yes
665,No,,Yes,750.0,Yes
666,No,,No,750.0,Yes
