,SIM,display_size,screen_to_body_ratio,OS
3267,Dual,5.0,60.7,Android 4.1
3268,Dual,4.5,65.0,Android 4.1
3269,Dual,4.5,63.2,Android 4.1
3270,Dual,4.3,59.8,Android 4.1
3271,Dual,4.3,60.5,Android 4.0
3272,Dual,4.0,55.9,Android 4.0
3273,Dual,4.0,56.9,Android 4.1
3274,Dual,4.0,57.4,Android 4.0
3275,Dual,3.5,49.9,Android 4.1
3276,No,10.1,66.9,Android 4.2
3277,No,9.7,65.2,Android 4.2
3278,No,7.85,67.5,Android 4.2
3279,Yes,8.0,58.4,Android 4.1
3280,Yes,8.0,64.1,Android 4.1
3281,Yes,10.1,65.8,Android 4.0
3282,No,10.1,65.8,Android 4.0
3283,No,7.0,65.2,Android 4.1
3284,No,7.0,60.2,Android 4.0
3285,No,8.0,63.8,Android 4.0
3286,No,7.0,62.6,Android 4.1
3287,No,7.0,62.6,Android 4.1
3288,No,7.0,66.0,Android 4.0
3289,Dual,6.0,73.5,Android 5.1
3290,Dual,4.8,65.9,Android 5.0
3291,Single,4.8,66.2,Android 5.0
3292,Dual,4.5,50.0,Android 5.1
3293,Dual,5.0,67.1,Android 5.0
3294,Dual,2.4,27.8,
3295,Dual,4.0,56.9,Android 4.4.2
3296,Dual,4.0,56.9,Android 4.4.2
3297,Dual,5.0,72.9,Android 4.4.2
3298,Single,7.85,,Android 4.4
3299,Dual,2.8,33.1,
3300,Dual,4.7,63.2,Android 5.0
3301,Dual,5.0,64.9,Android 4.4.2
3302,Dual,5.5,80.7,Android 4.4.2
3303,Dual,4.5,64.3,Android 4.4.2
3304,Dual,5.0,68.2,Android 4.4.2
3305,Dual,5.0,66.7,Android 4.4.2
3306,Dual,4.0,56.5,Windows
3307,Dual,5.0,66.7,Android 4.4.2
3308,Dual,5.0,64.6,Android 4.2
3309,Dual,4.0,61.4,Android 4.4.2
3310,Single,4.8,67.4,Android 4.4.2
3311,Dual,5.0,63.5,Android 4.4.2
3312,Single,4.7,64.4,Android 4.4.2
3313,Dual,4.7,64.6,Android 4.4.2
3314,Dual,5.0,,Android 4.2.2
3315,Dual,5.0,70.3,Android 4.2.2
3316,Dual,5.0,68.8,Android 4.2.2
3317,Dual,4.0,57.6,Android 4.4.2
3318,Dual,4.0,57.5,Android 4.4.2
3319,Dual,5.0,,Android 4.4.2
3320,Dual,4.7,63.3,Android 4.4.2
3321,Dual,4.5,63.5,Android 4.4.2
3322,Dual,4.5,67.8,Android 4.4.2
3323,Dual,4.0,57.5,Android 4.4.2
3324,Dual,4.5,65.5,Android 4.4.2
3325,Dual,4.7,65.0,Android 4.4.2
3326,Dual,2.4,25.4,
3327,Dual,4.5,59.9,Android 4.2
3328,Dual,5.0,66.4,Android 4.2
3329,Dual,4.7,64.9,Android 4.2.2
3330,Dual,2.4,31.5,
3331,Dual,3.97,55.6,Android 4.2
3332,Dual,5.0,64.2,Android 4.4.2
3333,Dual,3.2,43.2,
3334,Dual,4.0,56.1,Android 4.4
3335,Single,5.5,73.8,Android 4.2
3336,Dual,5.0,69.3,Android 4.2
3337,Single,5.0,67.7,Android 4.2
3338,Yes,8.0,,Android 4.2
3339,Dual,4.0,56.1,Android 4.2
3340,Dual,2.6,31.0,
3341,Dual,3.5,49.9,Android 4.2
3342,Dual,5.0,63.8,Android 4.2
3343,Dual,4.5,62.2,Android 4.2
3344,Dual,4.5,61.7,Android 4.2
3345,Dual,4.5,62.9,Android 4.4.2
3346,Dual,4.7,63.5,Android 4.2
3347,Dual,4.5,64.1,Android 4.2
3348,Dual,5.7,67.4,Android 4.2
3349,Single,5.0,69.4,Android 4.2
3350,Single,4.8,67.2,Android 4.2
3351,Dual,5.0,62.9,Android 4.1
3352,Dual,4.65,68.4,Android 4.1
3353,Dual,4.5,61.2,Android 4.2
3354,Single,2.2,29.6,Windows
3355,Single,2.8,37.6,Windows
3356,Single,3.6,38.8,Windows
3357,Single,2.8,42.5,
3358,Single,2.8,40.7,
3359,Single,2.2,33.9,
3360,Single,1.5,14.4,
3361,Single,2.0,26.3,
3362,Single,,,
3363,Single,1.9,23.1,
3364,Single,1.8,24.6,
3365,Single,,,
3366,Single,,,
3367,Single,,,
3368,Single,,,
3369,Single,,,
3370,Single,1.8,18.8,
3371,Single,,,
3372,Dual,5.7,72.5,Android 7.0
3373,Dual,5.5,73.3,Android 7.0
3374,Dual,5.5,73.3,Android 7.1
3375,Dual,5.2,71.5,Android 7.1
3376,Dual,5.0,68.5,Android 7.0
3377,Dual,5.8,83.6,Android 7.0
3378,Dual,6.2,84.0,Android 7.0
3379,Single,5.0,64.3,Android 7.0
3380,Single,9.7,72.7,Android 7.0
3381,Dual,4.0,59.4,Android 5.1
3382,Single,5.0,69.8,Android 6.0.1
3383,Dual,5.7,74.1,Android 6.0.1
3384,Dual,5.7,73.6,Android 6.0.1
3385,Dual,5.2,71.5,Android 6.0.1
3386,Dual,4.7,67.9,Android 6.0.1
3387,Dual,5.0,66.0,Android 6.0
3388,Dual,5.0,66.0,Android 6.0
3389,Dual,6.0,75.5,Android 6.0.1
3390,Dual,5.7,74.5,Android 6.0.1
3391,Dual,5.5,72.3,Android 6.0.1
3392,Dual,5.5,73.3,Android 6.0.1
3393,No,1.3,48.1,Tizen
3394,No,1.3,48.1,Tizen
3395,Single,1.3,48.1,Tizen
3396,Dual,5.0,69.4,Android 6.0.1
3397,Dual,5.5,73.3,Android 6.0.1
3398,Dual,4.0,59.5,Tizen
3399,Single,5.7,79.0,Android 6.0.1
3400,Dual,5.7,78.0,Android 6.0.1
3401,Dual,5.5,70.3,Android 6.0.1
3402,Dual,5.0,67.2,Android 6.0
3403,Dual,7.0,69.9,Android 5.1
3404,Dual,5.0,68.1,Android 6.0.1
3405,Dual,5.0,68.1,Android 6.0.1
3406,Dual,5.0,69.7,Tizen
3407,Single,5.1,64.3,Android 6.0
3408,Dual,5.0,68.0,Android 5.1
3409,Dual,5.7,74.1,Android 6.0.1
3410,Dual,5.2,71.0,Android 6.0.1
3411,Dual,6.0,75.9,Android 6.0.1
3412,Dual,5.5,72.3,Android 6.0.1
3413,Dual,5.2,70.7,Android 6.0.1
