brand,network_technology,GPRS,EDGE,dimentions,weight_g,SIM,display_resolution,OS,CPU,Chipset,GPU,memory_card,internal_memory,RAM,primary_camera,secondary_camera,loud_speaker,audio_jack,GPS,NFC,radio,battery,approx_price_EUR
Sony,GSM / HSPA,Up to 86 kbps,Up to 237 kbps,128 x 64 x 10.6 mm (5.04 x 2.52 x 0.42 in),144,Micro-SIM,4.3 inches (~62.2% screen-to-body ratio),Android 4.0.4 (Ice Cream Sandwich)| upgradeable to 4.1.2 (Jelly Bean),Dual-core 1.7 GHz Scorpion,Qualcomm MSM8260 Snapdragon S3,Adreno 220,No,32 GB,1 GB RAM,12 MP| autofocus| LED flash| ,1.3 MP| 720p@30fps,Yes,Yes,Yes with A-GPS GLONASS,Yes,Stereo FM radio| RDS,Non-removable Li-Ion 1750 mAh battery,240
Sony,GSM / HSPA,Up to 86 kbps,Up to 237 kbps,103 x 57 x 13 mm (4.06 x 2.24 x 0.51 in),99.4,Dual SIM (Mini-SIM| no dual stand-by),3.2 inches (~51.9% screen-to-body ratio),Android 4.0.3 (Ice Cream Sandwich),800 MHz Cortex-A5,Qualcomm MSM7225AA Snapdragon S1,Adreno 200,microSD  up to 32 GB (dedicated slot),2.9 GB (2.5 GB user available),512 MB RAM,3.15 MP,No,Yes,Yes,Yes with A-GPS,,Stereo FM radio| RDS,Removable Li-Ion 1500 mAh battery,90
Sony,GSM / HSPA,Up to 86 kbps,Up to 237 kbps,103 x 57 x 13 mm (4.06 x 2.24 x 0.51 in),99.4,Mini-SIM,3.2 inches (~51.9% screen-to-body ratio),Android 4.0.4 (Ice Cream Sandwich),800 MHz Cortex-A5,Qualcomm MSM7225AA Snapdragon S1,Adreno 200,microSD  up to 32 GB (dedicated slot),2.9 GB (2.5 GB user available),512 MB RAM,3.15 MP,No,Yes,Yes,Yes with A-GPS,,Stereo FM radio| RDS,Removable Li-Ion 1500 mAh battery,80
Sony,GSM / HSPA,Up to 86 kbps,Up to 237 kbps,113 x 59.4 x 9.9 mm (4.45 x 2.34 x 0.39 in),110,Mini-SIM,3.5 inches (~54.3% screen-to-body ratio),Android 4.0 (Ice Cream Sandwich),800 MHz Cortex-A5,Qualcomm MSM7225A Snapdragon S1,Adreno 200,microSD  up to 32 GB (dedicated slot),4 GB (2.2 GB user available),512 MB RAM,5 MP| autofocus| LED flash| ,VGA,Yes,Yes,Yes with A-GPS,,Stereo FM radio| RDS,Removable Li-Ion 1500 mAh battery,150
Sony,GSM / HSPA,Up to 107 kbps,Up to 296 kbps,111 x 60.3 x 9.8 mm (4.37 x 2.37 x 0.39 in),110,Mini-SIM,3.5 inches (~54.5% screen-to-body ratio),Android 2.3 (Gingerbread)| upgradable to 4.1.2 (Jelly Bean),Dual-core 1.0 GHz Cortex-A9,NovaThor U8500,Mali-400,microSD  up to 32 GB (dedicated slot),8 GB (4 GB user available),512 MB RAM,5 MP| autofocus| LED flash| ,No,Yes,Yes,Yes with A-GPS,,Stereo FM radio| RDS,Non-removable Li-Ion 1305 mAh battery,160
Sony,GSM / HSPA,Up to 86 kbps,Up to 237 kbps,126 x 66 x 11.9 mm (4.96 x 2.60 x 0.47 in),147,Mini-SIM,4.3 inches (~61.3% screen-to-body ratio),Android 4.0 (Ice Cream Sandwich)| upgradable to 4.1.2 (Jelly Bean),Dual-core 1.5 GHz Scorpion,Qualcomm MSM8260 Snapdragon S3,Adreno 220,microSD  up to 32 GB (dedicated slot),16 GB (11 GB user available),1 GB RAM,12 MP| autofocus| LED flash| ,1.3 MP| 720p@30fps,Yes,Yes,Yes with A-GPS GLONASS,Yes,Stereo FM radio| RDS,Non-removable Li-Ion 1910 mAh battery,230
Sony,GSM / HSPA / LTE,Up to 86 kbps,Up to 237 kbps,115 x 54 x 9.4 mm (4.53 x 2.13 x 0.37 in),95,Micro-SIM,3.7 inches (~60.8% screen-to-body ratio),Android 4.0 (Ice Cream Sandwich),Dual-core 1.5 GHz Krait,Qualcomm MSM8960 Snapdragon S4 Plus,Adreno 225,microSD  up to 32 GB (dedicated slot),4 GB,1 GB RAM,8 MP| autofocus| LED flash,VGA,Yes,Yes,Yes with A-GPS GLONASS,,Stereo FM radio| RDS,Removable Li-Ion 1500 mAh battery,220
Sony,GSM / HSPA / LTE,Up to 86 kbps,Up to 237 kbps,131 x 69 x 8.6 mm (5.16 x 2.72 x 0.34 in),127,Micro-SIM,4.6 inches (~64.5% screen-to-body ratio),Android 4.0 (Ice Cream Sandwich),Dual-core 1.5 GHz Krait,Qualcomm MSM8960 Snapdragon S4 Plus,Adreno 225,microSD  up to 32 GB (dedicated slot),16 GB,1 GB RAM,13 MP| autofocus| LED flash,1.3 MP| 720p@30fps,Yes,Yes,Yes with A-GPS,,No,Removable Li-Ion 1700 mAh battery,290
Sony,GSM / HSPA,Up to 86 kbps,Up to 237 kbps,126 x 66 x 11.9 mm (4.96 x 2.60 x 0.47 in),149,Micro-SIM,4.3 inches (~61.3% screen-to-body ratio),Android 2.3 (Gingerbread),Dual-core 1.5 GHz Scorpion,Qualcomm MSM8260 Snapdragon S3,Adreno 220,microSD  up to 32 GB (dedicated slot),11 GB,1 GB RAM,12 MP| autofocus| LED flash,1.3 MP| 720p@30fps,Yes,Yes,Yes with A-GPS GLONASS,,Stereo FM radio| RDS,Removable Li-Ion 1910 mAh battery,290
Sony,GSM / HSPA / CDMA2000,Yes,Yes,126 x 66 x 11.9 mm (4.96 x 2.60 x 0.47 in),149,Micro-SIM,4.3 inches (~61.3% screen-to-body ratio),Android 2.3 (Gingerbread),Dual-core 1.5 GHz Scorpion,Qualcomm MSM8660 Snapdragon S3,Adreno 220,microSD  up to 32 GB (dedicated slot),11 GB,1 GB RAM,12 MP| autofocus| LED flash,1.3 MP| 720p@30fps,Yes,Yes,Yes with A-GPS GLONASS,,FM radio,Removable Li-Ion 1900 mAh battery,280
Sony,GSM / HSPA,Up to 80 kbps,Up to 237 kbps,121 x 61.1 x 12.2 mm (4.76 x 2.41 x 0.48 in),131.5,Mini-SIM,4.0 inches (~59.6% screen-to-body ratio),Android 4.0.4 (Ice Cream Sandwich),1.0 GHz Scorpion,Qualcomm MSM8255 Snapdragon S2,Adreno 205,microSD  up to 32 GB (dedicated slot),1 GB (300 MB user available),512 MB RAM,5 MP| autofocus| LED flash| ,VGA,Yes,Yes,Yes with A-GPS,,No,Removable Li-Po 1500 mAh battery,150
Sony,GSM / HSPA,Up to 100 kbps,Up to 296 kbps,116 x 59 x 9.9 mm (4.57 x 2.32 x 0.39 in),107,Mini-SIM,3.7 inches (~55.1% screen-to-body ratio),Android 2.3 (Gingerbread)| upgradable to 4.0 (Ice Cream Sandwich),Dual-core 1.0 GHz Cortex-A9,NovaThor U8500,Mali-400,microSD  up to 32 GB (dedicated slot),8 GB (5 GB user available),512 MB RAM,5 MP| autofocus| LED flash| ,No,Yes,Yes,Yes with A-GPS,Yes,Stereo FM radio| RDS,Non-removable Li-Ion 1320 mAh battery,120
Sony,GSM / HSPA,Up to 107 kbps,Up to 296 kbps,112 x 54 x 12 mm (4.41 x 2.13 x 0.47 in),110,Mini-SIM,3.5 inches (~55.8% screen-to-body ratio),Android 2.3 (Gingerbread)| upgradable to 4.0 (Ice Cream Sandwich),Dual-core 1.0 GHz Cortex-A9,NovaThor U8500,Mali-400,No,8 GB (4 GB user available),512 MB RAM,5 MP| autofocus| LED flash| ,VGA,Yes,Yes,Yes with A-GPS,,Stereo FM radio| RDS,Removable Li-Ion 1320 mAh battery,140
Sony,GSM / HSPA,Up to 100 kbps,Up to 296 kbps,122 x 59.5 x 10.5 mm (4.80 x 2.34 x 0.41 in),120,Micro-SIM,4.0 inches (~60.8% screen-to-body ratio),Android 2.3 (Gingerbread)| upgradable to 4.1 (Jelly Bean),Dual-core 1.0 GHz Cortex-A9,NovaThor U8500,Mali-400,No,16 GB (13 GB user available),1 GB RAM,8 MP| autofocus| LED flash| ,VGA,Yes,Yes,Yes with A-GPS,Yes,Stereo FM radio| RDS,Non-removable Li-Ion 1305 mAh battery,210
Sony,GSM / HSPA,Up to 86 kbps,Up to 237 kbps,128 x 64 x 10.6 mm (5.04 x 2.52 x 0.42 in),144,Micro-SIM,4.3 inches (~62.2% screen-to-body ratio),Android 2.3 (Gingerbread)| upgradable to 4.1.2 (Jelly Bean),Dual-core 1.5 GHz Scorpion,Qualcomm MSM8260 Snapdragon S3,Adreno 220,No,32 GB,1 GB RAM,12 MP| autofocus| LED flash| ,1.3 MP| 720p@30fps,Yes,Yes,Yes with A-GPS GLONASS,Yes,Stereo FM radio| RDS,Non-removable Li-Ion 1750 mAh battery,230
